Prompt,air_temperature,fault_detection,power_consumption,process_efficiency,process_temperature,rotational_speed,summary,system_load,tool_wear,torque
Find the minimum rotational_speed and system_load.,0,0,0,0,0,1,0,1,0,0
Determine the minimum rotational_speed and system_load.,0,0,0,0,0,1,0,1,0,0
Show me the minimum rotational_speed and system_load.,0,0,0,0,0,1,0,1,0,0
Give me the minimum rotational_speed and system_load.,0,0,0,0,0,1,0,1,0,0
Provide the minimum rotational_speed and system_load.,0,0,0,0,0,1,0,1,0,0
What is the latest rotational_speed and system_load?,0,0,0,0,0,1,0,1,0,0
Calculate the latest rotational_speed and system_load.,0,0,0,0,0,1,0,1,0,0
Find the latest rotational_speed and system_load.,0,0,0,0,0,1,0,1,0,0
Determine the latest rotational_speed and system_load.,0,0,0,0,0,1,0,1,0,0
Show me the latest rotational_speed and system_load.,0,0,0,0,0,1,0,1,0,0
Give me the latest rotational_speed and system_load.,0,0,0,0,0,1,0,1,0,0
Provide the latest rotational_speed and system_load.,0,0,0,0,0,1,0,1,0,0
What is the trend rotational_speed and system_load?,0,0,0,0,0,1,0,1,0,0
Calculate the trend rotational_speed and system_load.,0,0,0,0,0,1,0,1,0,0
Find the trend rotational_speed and system_load.,0,0,0,0,0,1,0,1,0,0
Determine the trend rotational_speed and system_load.,0,0,0,0,0,1,0,1,0,0
Show me the trend rotational_speed and system_load.,0,0,0,0,0,1,0,1,0,0
Give me the trend rotational_speed and system_load.,0,0,0,0,0,1,0,1,0,0
Provide the trend rotational_speed and system_load.,0,0,0,0,0,1,0,1,0,0
What is the average rotational_speed and torque?,0,0,0,0,0,1,0,0,0,1
Calculate the average rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
Find the average rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
Determine the average rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
Show me the average rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
Give me the average rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
Provide the average rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
What is the maximum rotational_speed and torque?,0,0,0,0,0,1,0,0,0,1
Calculate the maximum rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
Find the maximum rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
Determine the maximum rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
Show me the maximum rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
Give me the maximum rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
Provide the maximum rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
What is the minimum rotational_speed and torque?,0,0,0,0,0,1,0,0,0,1
Calculate the minimum rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
Find the minimum rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
Determine the minimum rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
Show me the minimum rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
Give me the minimum rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
Provide the minimum rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
What is the latest rotational_speed and torque?,0,0,0,0,0,1,0,0,0,1
Calculate the latest rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
Find the latest rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
Determine the latest rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
Show me the latest rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
Give me the latest rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
Provide the latest rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
What is the trend rotational_speed and torque?,0,0,0,0,0,1,0,0,0,1
Calculate the trend rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
Find the trend rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
Determine the trend rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
Show me the trend rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
Give me the trend rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
Provide the trend rotational_speed and torque.,0,0,0,0,0,1,0,0,0,1
What is the average rotational_speed and tool_wear?,0,0,0,0,0,1,0,0,1,0
Calculate the average rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
Find the average rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
Determine the average rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
Show me the average rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
Give me the average rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
Provide the average rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
What is the maximum rotational_speed and tool_wear?,0,0,0,0,0,1,0,0,1,0
Calculate the maximum rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
Find the maximum rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
Determine the maximum rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
Show me the maximum rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
Give me the maximum rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
Provide the maximum rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
What is the minimum rotational_speed and tool_wear?,0,0,0,0,0,1,0,0,1,0
Calculate the minimum rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
Find the minimum rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
Determine the minimum rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
Show me the minimum rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
Give me the minimum rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
Provide the minimum rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
What is the latest rotational_speed and tool_wear?,0,0,0,0,0,1,0,0,1,0
Calculate the latest rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
Find the latest rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
Determine the latest rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
Show me the latest rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
Give me the latest rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
Provide the latest rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
What is the trend rotational_speed and tool_wear?,0,0,0,0,0,1,0,0,1,0
Calculate the trend rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
Find the trend rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
Determine the trend rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
Show me the trend rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
Give me the trend rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
Provide the trend rotational_speed and tool_wear.,0,0,0,0,0,1,0,0,1,0
What is the average system_load and torque?,0,0,0,0,0,0,0,1,0,1
Calculate the average system_load and torque.,0,0,0,0,0,0,0,1,0,1
Find the average system_load and torque.,0,0,0,0,0,0,0,1,0,1
Determine the average system_load and torque.,0,0,0,0,0,0,0,1,0,1
Show me the average system_load and torque.,0,0,0,0,0,0,0,1,0,1
Give me the average system_load and torque.,0,0,0,0,0,0,0,1,0,1
Provide the average system_load and torque.,0,0,0,0,0,0,0,1,0,1
What is the maximum system_load and torque?,0,0,0,0,0,0,0,1,0,1
Calculate the maximum system_load and torque.,0,0,0,0,0,0,0,1,0,1
Find the maximum system_load and torque.,0,0,0,0,0,0,0,1,0,1
Determine the maximum system_load and torque.,0,0,0,0,0,0,0,1,0,1
Show me the maximum system_load and torque.,0,0,0,0,0,0,0,1,0,1
Give me the maximum system_load and torque.,0,0,0,0,0,0,0,1,0,1
Provide the maximum system_load and torque.,0,0,0,0,0,0,0,1,0,1
What is the minimum system_load and torque?,0,0,0,0,0,0,0,1,0,1
Calculate the minimum system_load and torque.,0,0,0,0,0,0,0,1,0,1
Find the minimum system_load and torque.,0,0,0,0,0,0,0,1,0,1
Determine the minimum system_load and torque.,0,0,0,0,0,0,0,1,0,1
Show me the minimum system_load and torque.,0,0,0,0,0,0,0,1,0,1
Give me the minimum system_load and torque.,0,0,0,0,0,0,0,1,0,1
Provide the minimum system_load and torque.,0,0,0,0,0,0,0,1,0,1
What is the latest system_load and torque?,0,0,0,0,0,0,0,1,0,1
Calculate the latest system_load and torque.,0,0,0,0,0,0,0,1,0,1
Find the latest system_load and torque.,0,0,0,0,0,0,0,1,0,1
Determine the latest system_load and torque.,0,0,0,0,0,0,0,1,0,1
Show me the latest system_load and torque.,0,0,0,0,0,0,0,1,0,1
Give me the latest system_load and torque.,0,0,0,0,0,0,0,1,0,1
Provide the latest system_load and torque.,0,0,0,0,0,0,0,1,0,1
What is the trend system_load and torque?,0,0,0,0,0,0,0,1,0,1
Calculate the trend system_load and torque.,0,0,0,0,0,0,0,1,0,1
Find the trend system_load and torque.,0,0,0,0,0,0,0,1,0,1
Determine the trend system_load and torque.,0,0,0,0,0,0,0,1,0,1
Show me the trend system_load and torque.,0,0,0,0,0,0,0,1,0,1
Give me the trend system_load and torque.,0,0,0,0,0,0,0,1,0,1
Provide the trend system_load and torque.,0,0,0,0,0,0,0,1,0,1
What is the average system_load and tool_wear?,0,0,0,0,0,0,0,1,1,0
Calculate the average system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
Find the average system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
Determine the average system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
Show me the average system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
Give me the average system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
Provide the average system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
What is the maximum system_load and tool_wear?,0,0,0,0,0,0,0,1,1,0
Calculate the maximum system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
Find the maximum system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
Determine the maximum system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
Show me the maximum system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
Give me the maximum system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
Provide the maximum system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
What is the minimum system_load and tool_wear?,0,0,0,0,0,0,0,1,1,0
Calculate the minimum system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
Find the minimum system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
Determine the minimum system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
Show me the minimum system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
Give me the minimum system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
Provide the minimum system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
What is the latest system_load and tool_wear?,0,0,0,0,0,0,0,1,1,0
Calculate the latest system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
Find the latest system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
Determine the latest system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
Show me the latest system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
Give me the latest system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
Provide the latest system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
What is the trend system_load and tool_wear?,0,0,0,0,0,0,0,1,1,0
Calculate the trend system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
Find the trend system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
Determine the trend system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
Show me the trend system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
Give me the trend system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
Provide the trend system_load and tool_wear.,0,0,0,0,0,0,0,1,1,0
What is the average torque and tool_wear?,0,0,0,0,0,0,0,0,1,1
Calculate the average torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
Find the average torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
Determine the average torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
Show me the average torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
Give me the average torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
Provide the average torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
What is the maximum torque and tool_wear?,0,0,0,0,0,0,0,0,1,1
Calculate the maximum torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
Find the maximum torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
Determine the maximum torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
Show me the maximum torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
Give me the maximum torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
Provide the maximum torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
What is the minimum torque and tool_wear?,0,0,0,0,0,0,0,0,1,1
Calculate the minimum torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
Find the minimum torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
Determine the minimum torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
Show me the minimum torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
Give me the minimum torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
Provide the minimum torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
What is the latest torque and tool_wear?,0,0,0,0,0,0,0,0,1,1
Calculate the latest torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
Find the latest torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
Determine the latest torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
Show me the latest torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
Give me the latest torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
Provide the latest torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
What is the trend torque and tool_wear?,0,0,0,0,0,0,0,0,1,1
Calculate the trend torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
Find the trend torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
Determine the trend torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
Show me the trend torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
Give me the trend torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
Provide the trend torque and tool_wear.,0,0,0,0,0,0,0,0,1,1
"What is the average air_temperature, power_consumption and process_temperature?",1,0,1,0,1,0,0,0,0,0
"Calculate the average air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"Find the average air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"Determine the average air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"Show me the average air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"Give me the average air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"Provide the average air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"What is the maximum air_temperature, power_consumption and process_temperature?",1,0,1,0,1,0,0,0,0,0
"Calculate the maximum air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"Find the maximum air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"Determine the maximum air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"Show me the maximum air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"Give me the maximum air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"Provide the maximum air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"What is the minimum air_temperature, power_consumption and process_temperature?",1,0,1,0,1,0,0,0,0,0
"Calculate the minimum air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"Find the minimum air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"Determine the minimum air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"Show me the minimum air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"Give me the minimum air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"Provide the minimum air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"What is the latest air_temperature, power_consumption and process_temperature?",1,0,1,0,1,0,0,0,0,0
"Calculate the latest air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"Find the latest air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"Determine the latest air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"Show me the latest air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"Give me the latest air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"Provide the latest air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"What is the trend air_temperature, power_consumption and process_temperature?",1,0,1,0,1,0,0,0,0,0
"Calculate the trend air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"Find the trend air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"Determine the trend air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"Show me the trend air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"Give me the trend air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"Provide the trend air_temperature, power_consumption and process_temperature.",1,0,1,0,1,0,0,0,0,0
"What is the average air_temperature, power_consumption and rotational_speed?",1,0,1,0,0,1,0,0,0,0
"Calculate the average air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"Find the average air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"Determine the average air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"Show me the average air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"Give me the average air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"Provide the average air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"What is the maximum air_temperature, power_consumption and rotational_speed?",1,0,1,0,0,1,0,0,0,0
"Calculate the maximum air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"Find the maximum air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"Determine the maximum air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"Show me the maximum air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"Give me the maximum air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"Provide the maximum air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"What is the minimum air_temperature, power_consumption and rotational_speed?",1,0,1,0,0,1,0,0,0,0
"Calculate the minimum air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"Find the minimum air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"Determine the minimum air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"Show me the minimum air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"Give me the minimum air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"Provide the minimum air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"What is the latest air_temperature, power_consumption and rotational_speed?",1,0,1,0,0,1,0,0,0,0
"Calculate the latest air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"Find the latest air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"Determine the latest air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"Show me the latest air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"Give me the latest air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"Provide the latest air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"What is the trend air_temperature, power_consumption and rotational_speed?",1,0,1,0,0,1,0,0,0,0
"Calculate the trend air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"Find the trend air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"Determine the trend air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"Show me the trend air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"Give me the trend air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"Provide the trend air_temperature, power_consumption and rotational_speed.",1,0,1,0,0,1,0,0,0,0
"What is the average air_temperature, power_consumption and system_load?",1,0,1,0,0,0,0,1,0,0
"Calculate the average air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"Find the average air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"Determine the average air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"Show me the average air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"Give me the average air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"Provide the average air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"What is the maximum air_temperature, power_consumption and system_load?",1,0,1,0,0,0,0,1,0,0
"Calculate the maximum air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"Find the maximum air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"Determine the maximum air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"Show me the maximum air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"Give me the maximum air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"Provide the maximum air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"What is the minimum air_temperature, power_consumption and system_load?",1,0,1,0,0,0,0,1,0,0
"Calculate the minimum air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"Find the minimum air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"Determine the minimum air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"Show me the minimum air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"Give me the minimum air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"Provide the minimum air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"What is the latest air_temperature, power_consumption and system_load?",1,0,1,0,0,0,0,1,0,0
"Calculate the latest air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"Find the latest air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"Determine the latest air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"Show me the latest air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"Give me the latest air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"Provide the latest air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"What is the trend air_temperature, power_consumption and system_load?",1,0,1,0,0,0,0,1,0,0
"Calculate the trend air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"Find the trend air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"Determine the trend air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"Show me the trend air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"Give me the trend air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"Provide the trend air_temperature, power_consumption and system_load.",1,0,1,0,0,0,0,1,0,0
"What is the average air_temperature, power_consumption and torque?",1,0,1,0,0,0,0,0,0,1
"Calculate the average air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"Find the average air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"Determine the average air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"Show me the average air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"Give me the average air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"Provide the average air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"What is the maximum air_temperature, power_consumption and torque?",1,0,1,0,0,0,0,0,0,1
"Calculate the maximum air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"Find the maximum air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"Determine the maximum air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"Show me the maximum air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"Give me the maximum air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"Provide the maximum air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"What is the minimum air_temperature, power_consumption and torque?",1,0,1,0,0,0,0,0,0,1
"Calculate the minimum air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"Find the minimum air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"Determine the minimum air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"Show me the minimum air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"Give me the minimum air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"Provide the minimum air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"What is the latest air_temperature, power_consumption and torque?",1,0,1,0,0,0,0,0,0,1
"Calculate the latest air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"Find the latest air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"Determine the latest air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"Show me the latest air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"Give me the latest air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"Provide the latest air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"What is the trend air_temperature, power_consumption and torque?",1,0,1,0,0,0,0,0,0,1
"Calculate the trend air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"Find the trend air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"Determine the trend air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"Show me the trend air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"Give me the trend air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"Provide the trend air_temperature, power_consumption and torque.",1,0,1,0,0,0,0,0,0,1
"What is the average air_temperature, power_consumption and tool_wear?",1,0,1,0,0,0,0,0,1,0
"Calculate the average air_temperature, power_consumption and tool_wear.",1,0,1,0,0,0,0,0,1,0
"Find the average air_temperature, power_consumption and tool_wear.",1,0,1,0,0,0,0,0,1,0
"Determine the average air_temperature, power_consumption and tool_wear.",1,0,1,0,0,0,0,0,1,0
"Show me the average air_temperature, power_consumption and tool_wear.",1,0,1,0,0,0,0,0,1,0
"Give me the average air_temperature, power_consumption and tool_wear.",1,0,1,0,0,0,0,0,1,0
"Provide the average air_temperature, power_consumption and tool_wear.",1,0,1,0,0,0,0,0,1,0
"What is the maximum air_temperature, power_consumption and tool_wear?",1,0,1,0,0,0,0,0,1,0
"Calculate the maximum air_temperature, power_consumption and tool_wear.",1,0,1,0,0,0,0,0,1,0
"Find the maximum air_temperature, power_consumption and tool_wear.",1,0,1,0,0,0,0,0,1,0
